source_file,folder_path,crawl_date,crawl_time,city,temperature_°C_,feels_like_°C_,temp_min_°C_,temp_max_°C_,pressure_hPa_,humidity_%_,visibility_m_,wind_speed_m/s_,wind_deg_°_,cloudiness_%_,weather_main,weather_description,sunrise_date,sunrise_time,sunset_date,sunset_time
weather_data 2025-09-02 11:47:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,11:47,Kolkata,30.39,36.55,30.39,30.39,1002,72,9329,6.1,124,100,Clouds,overcast clouds,2025-09-02,05:19:34,2025-09-02,17:53:26
weather_data 2025-09-02 11:47:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,11:47,Pune,22.99,23.69,22.99,22.99,1008,90,9487,3.71,258,100,Clouds,overcast clouds,2025-09-02,06:20:18,2025-09-02,18:48:46
weather_data 2025-09-02 11:47:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,11:47,Nagpur,27.62,31.04,27.62,27.62,1004,79,3050,3.21,327,100,Clouds,overcast clouds,2025-09-02,05:57:36,2025-09-02,18:29:32
weather_data 2025-09-03 11:47:59.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-03,11:47,Nagpur,26.25,26.25,26.25,26.25,1003,85,4402,4.75,319,100,Clouds,overcast clouds,2025-09-03,05:57:51,2025-09-03,18:28:37
weather_data 2025-09-04 11:48:00.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,11:47,Surat,24.17,25.15,24.17,24.17,1006,96,7712,3.89,280,100,Clouds,overcast clouds,2025-09-04,06:23:10,2025-09-04,18:52:46
weather_data 2025-09-04 11:48:00.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,11:47,Indore,23.67,24.63,23.67,23.67,1004,97,6349,3.21,290,100,Clouds,overcast clouds,2025-09-04,06:10:13,2025-09-04,18:41:43
weather_data 2025-09-04 11:48:00.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,11:47,Vadodara,24.97,25.92,24.97,24.97,1005,92,6127,5.25,274,100,Clouds,overcast clouds,2025-09-04,06:21:00,2025-09-04,18:51:59
weather_data 2025-09-05 11:47:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,11:47,Bhopal,22.57,23.36,22.57,22.57,1005,95,6851,4.52,177,100,Clouds,overcast clouds,2025-09-05,06:03:55,2025-09-05,18:34:49
weather_data 2025-09-06 11:47:31.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-06,11:47,Bhopal,22.7,23.45,22.7,22.7,1007,93,,3.36,185,100,Clouds,overcast clouds,2025-09-06,06:04:14,2025-09-06,18:33:49
weather_data 2025-09-07 11:47:59.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,11:47,Surat,25.6,26.59,25.6,25.6,1007,91,5494,7.82,233,100,Clouds,overcast clouds,2025-09-07,06:23:54,2025-09-07,18:49:59
weather_data 2025-09-07 11:47:59.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,11:47,Vadodara,24.61,25.53,24.61,24.61,1006,92,2409,5.72,220,100,Clouds,overcast clouds,2025-09-07,06:21:51,2025-09-07,18:49:06
weather_data 2025-08-31 15:02:36.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,15:02,Ludhiana,23.21,24.15,23.21,23.21,1002,98,4319,4.63,91,100,Clouds,overcast clouds,2025-08-31,06:02:22,2025-08-31,18:52:02
weather_data 2025-08-31 15:50:53.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,15:50,Ludhiana,23.44,24.42,23.44,23.44,1002,99,4319,4.63,91,100,Clouds,overcast clouds,2025-08-31,06:02:22,2025-08-31,18:52:02
weather_data 2025-08-31 23:48:41.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,23:48,Delhi,26.91,29.81,26.91,26.91,1002,83,5979,3.08,92,100,Clouds,overcast clouds,2025-08-31,05:58:48,2025-08-31,18:44:40
weather_data 2025-09-01 07:51:21.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:51,Ludhiana,22.43,23.31,22.43,22.43,1002,99,6662,3.39,69,100,Clouds,overcast clouds,2025-09-01,06:02:56,2025-09-01,18:50:50
weather_data 2025-09-01 11:48:48.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,11:48,Kanpur,28.74,32.88,28.74,28.74,1002,74,9127,5.32,156,100,Clouds,overcast clouds,2025-09-01,05:48:28,2025-09-01,18:29:18
weather_data 2025-09-02 07:47:32.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,07:47,Ludhiana,21.2,21.96,21.2,21.2,1002,99,953,3.64,40,100,Clouds,overcast clouds,2025-09-02,06:03:31,2025-09-02,18:49:37
weather_data 2025-09-04 03:50:10.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,03:50,Vadodara,26.61,26.61,26.61,26.61,1002,81,9005,2.44,302,100,Clouds,overcast clouds,2025-09-04,06:21:00,2025-09-04,18:51:59
