source_path,folder_path,crawl_date,crawl_time,city,forecast_date,sunrise,sunset,temp_min_°C_,temp_max_°C_,morning_temp_°C_,day_temp_°C_,evening_temp_°C_,night_temp_°C_,pressure_hPa_,humidity_%_,wind_speed_m/s_,wind_deg_°_,cloudiness_%_,weather_main,weather_desc,pop_%_,rain_mm_
forecast_data 2025-09-07 07:47:07.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,07:47,Kolkata,2025-09-12,05:21,17:48,25.88,26.43,,,,26.155,1005.5,88.5,2.485,150,100,Clouds,light rain,90,1.44
forecast_data 2025-09-06 07:47:01.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-06,07:46,Kolkata,2025-09-11,05:20,17:49,26.85,27.2,,,,27.025,1002,88,2.75,191,100,Clouds,light rain,42.5,2.01
forecast_data 2025-09-08 07:46:57.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-08,07:46,Kolkata,2025-09-13,05:21,17:47,26.21,26.81,,,,26.51,1006,86,2.605,163,100,Clouds,light rain,52,0.93
forecast_data 2025-09-11 07:46:47.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-11,07:46,Vadodara,2025-09-16,06:22,18:45,25.98,26.38,,,,26.18,1006,80.5,2.285,262.5,100,Clouds,light rain,10,0.42
forecast_data 2025-09-12 07:46:49.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-12,07:46,Mumbai,2025-09-17,06:25,18:44,26,26.1,,,,26.05,1007.5,82,2.055,185.5,100,Clouds,light rain,19,0.15
forecast_data 2025-09-12 07:46:49.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-12,07:46,Hyderabad,2025-09-17,06:03,18:21,22.43,22.88,,,,22.655,1006.5,94,3.245,298.5,100,Clouds,light rain,86.5,1.32
forecast_data 2025-09-07 07:47:07.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,07:47,Mumbai,2025-09-12,06:24,18:48,27.02,27.16,,,,27.09,1007.5,76,2.31,237.5,100,Rain,light rain,27.5,0.63
forecast_data 2025-09-07 07:47:07.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,07:47,Nagpur,2025-09-12,05:58,18:24,23.4,23.52,,,,23.46,1005,93,3.15,335,100,Rain,light rain,62,1.86
forecast_data 2025-09-08 07:46:57.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-08,07:46,Bangalore,2025-09-13,06:08,18:26,19.75,20.08,,,,19.915,1008,88.5,4.67,300,100,Rain,light rain,30,0.51
forecast_data 2025-09-08 07:46:57.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-08,07:46,Chennai,2025-09-13,05:58,18:15,25.94,26.24,,,,26.09,1004.5,81,4.71,266,100,Rain,light rain,88.5,0.93
forecast_data 2025-09-08 07:46:57.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-08,07:46,Pune,2025-09-13,06:21,18:43,20.68,21.59,,,,21.135,1009,90.5,2.35,246,100,Rain,light rain,95,2.49
forecast_data 2025-09-08 07:46:57.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-08,07:46,Nagpur,2025-09-13,05:59,18:23,23.21,23.83,,,,23.52,1005.5,93,2.455,43.5,100,Rain,light rain,99.5,2.49
forecast_data 2025-09-10 07:46:45.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-10,07:46,Pune,2025-09-15,06:21,18:41,21.57,21.57,,,,21.57,1008.5,98,1.925,247.5,100,Rain,light rain,72.5,1.02
forecast_data 2025-09-10 07:46:45.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-10,07:46,Varanasi,2025-09-15,05:42,18:08,26.89,28.56,,,,27.725,1003.5,78.5,2.955,218,100,Rain,light rain,70,1.05
forecast_data 2025-09-11 07:46:47.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-11,07:46,Hyderabad,2025-09-16,06:03,18:22,22.28,22.98,,,,22.63,1006.5,93.5,4.035,280.5,100,Rain,light rain,55,0.6
forecast_data 2025-09-11 07:46:47.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-11,07:46,Nagpur,2025-09-16,05:59,18:21,24.26,24.33,,,,24.295,1004.5,90,2.385,279,100,Rain,light rain,51,0.78
forecast_data 2025-09-12 07:46:49.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-12,07:46,Patna,2025-09-17,05:34,17:57,24.56,24.61,,,,24.585,1004,95,3.59,70,100,Rain,light rain,97,1.98
forecast_data 2025-09-07 03:46:58.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,03:46,Bangalore,2025-09-12,06:08,18:26,20.26,20.26,,,,20.26,1009,89,4.02,294,100,Rain,light rain,99,0.87
forecast_data 2025-09-07 03:46:58.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,03:46,Patna,2025-09-12,05:32,18:03,27.42,27.42,,,,27.42,1004,82,2.32,52,100,Rain,light rain,92,0.84
forecast_data 2025-09-08 03:46:57.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-08,03:46,Bangalore,2025-09-13,06:08,18:26,19.67,19.67,,,,19.67,1008,93,5.18,305,100,Rain,light rain,93,0.69
forecast_data 2025-09-08 03:46:57.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-08,03:46,Nagpur,2025-09-13,05:59,18:23,23.42,23.42,,,,23.42,1005,92,2.46,352,100,Rain,light rain,60,0.18
forecast_data 2025-09-08 03:46:57.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-08,03:46,Indore,2025-09-13,06:11,18:37,21.98,21.98,,,,21.98,1008,92,3.69,315,100,Rain,light rain,20,0.24
forecast_data 2025-09-09 03:47:00.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-09,03:46,Indore,2025-09-14,06:11,18:36,23.81,23.81,,,,23.81,1007,84,2.12,13,100,Rain,light rain,50,0.39
forecast_data 2025-09-10 03:46:45.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-10,03:46,Kolkata,2025-09-15,05:21,17:45,27.12,27.12,,,,27.12,1005,89,4.72,208,100,Rain,light rain,92,1.56
forecast_data 2025-09-10 03:46:45.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-10,03:46,Pune,2025-09-15,06:21,18:41,21.42,21.42,,,,21.42,1008,98,2.46,244,100,Rain,light rain,20,0.15
