crawl_date,city,forecast_time,hour_sort,temp_c,feels_like_c,temp_min_c,temp_max_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_deg,cloudiness_pct,weather_main,weather_desc,pop,rain_3h_mm
2025-09-12,Hyderabad,14:30,14,25.99,25.99,25.99,25.99,1006,81,4.43,338,100,Rain,moderate rain,1,4.8
2025-09-12,Bengaluru,17:30,17,24.52,24.83,24.52,24.52,1008,69,5.15,332,100,Rain,light rain,1,0.97
2025-09-12,Chennai,20:30,20,27.95,31.25,27.95,27.95,1007,75,4.96,193,100,Rain,light rain,1,2.84
2025-09-12,Chennai,23:30,23,26.88,29.39,26.88,26.88,1007,79,3.47,229,94,Rain,light rain,1,0.4
2025-09-12,Kolkata,14:30,14,31.57,37.87,31.57,31.57,1004,66,3.69,150,100,Rain,moderate rain,1,3.2
2025-09-12,Kolkata,17:30,17,29.31,34.47,29.31,29.31,1005,75,3.77,170,100,Rain,light rain,1,1.01
2025-09-12,Hyderabad,11:30,11,26.67,28.73,26.67,26.67,1009,76,4.87,349,100,Rain,light rain,1,1.2
2025-09-12,Hyderabad,17:30,17,24.96,25.81,24.96,24.96,1006,88,4.21,318,100,Rain,light rain,1,1.93
2025-09-12,Hyderabad,20:30,20,23.71,24.51,23.71,23.71,1008,91,4.6,316,100,Rain,moderate rain,1,9.48
2025-09-12,Nagpur,14:30,14,29.65,34.65,29.65,29.65,1005,72,3.76,6,100,Rain,light rain,1,1.43
2025-09-12,Hyderabad,02:30,2,22.27,23.06,22.27,22.27,1008,96,5.55,305,100,Rain,moderate rain,1,10.93
2025-09-12,Hyderabad,05:30,5,22.28,23.07,22.28,22.31,1008,96,4.6,316,100,Rain,light rain,1,2.47
2025-09-12,Hyderabad,23:30,23,22.89,23.74,22.89,22.89,1008,96,3.45,351,100,Rain,moderate rain,1,7.86
2025-09-12,Nagpur,20:30,20,24.87,25.76,24.87,24.87,1007,90,2.7,354,100,Rain,light rain,1,1.99
2025-09-12,Nagpur,23:30,23,24.53,25.39,24.53,24.53,1007,90,2.26,335,100,Rain,light rain,1,1.19
2025-09-12,Nagpur,17:30,17,27.49,31.37,27.49,27.49,1005,84,3.36,357,100,Rain,moderate rain,1,3.52
