source_file,folder_path,crawl_date,crawl_time,city,forecast_date,forecast_time,temp_c,feels_like_c,temp_min_c,temp_max_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_deg,cloudiness_pct,weather_main,weather_desc,pop,rain_3h_mm
hourly_data 2025-08-30 20:35:21.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-30,20:35,Nagpur,2025-08-30,23:30:00,25.92,26.81,25.52,25.92,1006,86,3.41,221,100,Rain,light rain,1,2.03
hourly_data 2025-08-31 03:47:52.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,03:47,Delhi,2025-08-31,23:30:00,26.15,26.15,26.15,26.15,1002,86,3.01,126,96,Rain,light rain,1,0.95
hourly_data 2025-08-31 07:50:15.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,07:50,Mumbai,2025-08-31,23:30:00,26.79,29.79,26.79,26.79,1007,86,7.47,251,94,Rain,light rain,1,2.58
hourly_data 2025-08-31 11:50:16.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,11:50,Mumbai,2025-08-31,23:30:00,26.61,26.61,26.61,26.61,1007,86,7.3,250,98,Rain,light rain,1,2.54
hourly_data 2025-08-31 13:18:49.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,13:18,Mumbai,2025-08-31,23:30:00,26.61,26.61,26.61,26.61,1007,86,7.3,250,98,Rain,light rain,1,2.54
hourly_data 2025-08-31 14:59:25.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,14:59,Mumbai,2025-08-31,23:30:00,26.61,26.61,26.61,26.61,1007,86,7.3,250,98,Rain,light rain,1,2.54
hourly_data 2025-08-31 15:50:04.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,15:49,Mumbai,2025-08-31,23:30:00,26.61,26.61,26.61,26.61,1007,86,7.3,250,98,Rain,light rain,1,2.54
hourly_data 2025-08-31 19:47:34.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,19:47,Jaipur,2025-08-31,23:30:00,25.44,26.29,24.75,25.44,1003,86,2.14,287,100,Rain,light rain,1,0.87
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Agra,2025-09-01,23:30:00,25.45,26.3,25.45,25.45,1001,86,1.93,218,100,Rain,light rain,1,1.65
hourly_data 2025-09-01 11:47:51.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,11:47,Vadodara,2025-09-01,23:30:00,26.83,29.89,26.83,26.83,1003,86,3.8,223,100,Rain,light rain,1,0.82
